User Device Type,Duration(sec),Paket Loss Rate(Reliability),Packet Delay Budget( Latency(ms)),Bandwidth(GHz),Delay Rate(Mbps),Speed(Mbps),Jitter(ps),Modulation Type,Slice Type
SmartPhone,180,0.01,50,38,1000,2187,3.70E+07,FBMC,mMTC
SmartPhone,120,0.01,50,40,10500,2000,3.70E+07,FBMC,mMTC
SmartPhone,120,0.001,28,50,1700,78,3.70E+07,FBMC,mMTC
SmartPhone,120,0.01,20,60,300,2728,4.50E+07,FBMC,mMTC
SmartPhone,300,0.01,15,50,1700,803,7.70E+07,FBMC,mMTC
SmartPhone,300,0.01,50,30,10500,971,4.30E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,25,30,17500,1199,2.00E+07,FBMC,mMTC
SmartPhone,600,0.01,40,45,10500,2176,4.50E+07,FBMC,mMTC
SmartPhone,120,0.01,20,50,1700,420,1.90E+07,FBMC,mMTC
SmartPhone,300,0.01,40,29,300,810,1.00E+07,FBMC,mMTC
SmartPhone,300,0.01,15,45,1700,1874,3.30E+07,FBMC,mMTC
SmartPhone,600,0.01,15,45,1000,1593,7.50E+06,FBMC,mMTC
SmartPhone,300,0.01,20,50,1000,2000,7.50E+07,FBMC,mMTC
SmartPhone,100,0.01,28,40,10500,853,7.50E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,50,900,1165,7.70E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,50,45,900,2624,4.50E+07,FBMC,mMTC
SmartPhone,60,0.01,25,30,900,1689,6.50E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,50,29,900,154,1.90E+07,FBMC,mMTC
SmartPhone,300,0.01,50,29,900,2236,7.50E+06,FBMC,mMTC
SmartPhone,240,0.01,25,38,1700,2938,4.50E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,25,50,10500,710,3.70E+07,FBMC,mMTC
SmartPhone,180,1.00E-05,28,29,10500,1247,2.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,10,29,900,2879,7.50E+06,FBMC,mMTC
SmartPhone,100,0.01,15,60,17500,1715,3.70E+07,FBMC,mMTC
SmartPhone,240,0.01,20,29,300,80,1.80E+07,FBMC,mMTC
SmartPhone,120,0.01,20,29,900,1955,4.50E+07,FBMC,mMTC
SmartPhone,120,0.01,10,40,300,2593,1.00E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,20,40,1000,1586,7.50E+07,FBMC,mMTC
SmartPhone,100,0.01,50,29,900,1438,3.70E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,25,40,10000,1788,4.30E+07,FBMC,mMTC
SmartPhone,60,0.01,40,45,10500,1206,7.50E+07,FBMC,mMTC
SmartPhone,120,0.0001,20,50,10500,2325,4.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,20,45,300,2205,6.50E+07,FBMC,mMTC
SmartPhone,240,0.01,28,29,1000,1345,3.30E+07,FBMC,mMTC
SmartPhone,240,0.001,50,38,900,2612,6.50E+07,FBMC,mMTC
SmartPhone,60,0.01,25,60,1700,1936,1.90E+07,FBMC,mMTC
SmartPhone,120,1.00E-05,10,38,1000,232,2.00E+07,FBMC,mMTC
SmartPhone,100,0.01,50,30,300,252,1.80E+07,FBMC,mMTC
SmartPhone,600,0.01,40,40,1700,1502,3.70E+07,FBMC,mMTC
SmartPhone,180,0.01,28,50,1000,1296,1.80E+07,FBMC,mMTC
SmartPhone,600,0.01,20,40,10500,2509,4.50E+07,FBMC,mMTC
SmartPhone,60,0.01,25,38,300,126,4.50E+07,FBMC,mMTC
SmartPhone,120,0.01,20,50,10500,1540,7.70E+07,FBMC,mMTC
SmartPhone,240,0.0001,25,30,300,1382,3.30E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,28,40,1700,1175,7.70E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,28,30,300,2309,7.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,25,50,900,675,4.50E+07,FBMC,mMTC
SmartPhone,120,1.00E-06,50,38,17500,630,1.90E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,15,60,1000,208,4.50E+07,FBMC,mMTC
SmartPhone,600,0.01,50,45,1700,1714,7.70E+07,FBMC,mMTC
SmartPhone,100,0.01,20,50,900,774,4.30E+07,FBMC,mMTC
SmartPhone,300,0.0001,10,38,900,801,7.50E+07,FBMC,mMTC
SmartPhone,240,0.01,28,40,300,188,7.70E+07,FBMC,mMTC
SmartPhone,100,0.0001,50,60,17500,2584,4.50E+07,FBMC,mMTC
SmartPhone,600,0.01,15,29,10000,517,4.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,40,50,1000,1389,4.50E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,28,60,1700,1922,5.00E+07,FBMC,mMTC
SmartPhone,240,0.01,25,29,900,2035,2.00E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,20,40,10000,2549,7.50E+07,FBMC,mMTC
SmartPhone,240,0.01,40,50,1700,2501,2.00E+07,FBMC,mMTC
SmartPhone,60,0.01,50,45,1000,1128,7.50E+07,FBMC,mMTC
SmartPhone,300,0.01,40,40,17500,1088,2.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,50,29,1700,2547,7.70E+07,FBMC,mMTC
SmartPhone,300,0.01,18,29,10500,119,7.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,10,29,1700,1369,7.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,20,29,1700,1680,3.30E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,15,50,10500,2801,7.50E+06,FBMC,mMTC
SmartPhone,300,0.01,25,50,1000,2033,4.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,20,40,900,1979,1.00E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,60,10000,2836,6.50E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,40,45,900,162,1.90E+07,FBMC,mMTC
SmartPhone,600,0.01,25,50,10000,2895,4.30E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,20,45,1000,2024,2.00E+07,FBMC,mMTC
SmartPhone,240,0.01,28,45,10500,1484,1.90E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,28,29,300,1579,4.50E+07,FBMC,mMTC
SmartPhone,180,0.01,50,40,10500,1094,1.90E+07,FBMC,mMTC
SmartPhone,600,0.01,20,38,17500,2556,1.90E+07,FBMC,mMTC
SmartPhone,100,0.01,15,38,1700,2619,6.50E+07,FBMC,mMTC
SmartPhone,60,0.0001,28,60,900,1273,2.00E+07,FBMC,mMTC
SmartPhone,60,0.01,28,29,900,1522,5.00E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,50,50,300,672,7.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,29,10500,779,7.50E+06,FBMC,mMTC
SmartPhone,60,1.00E-06,25,50,1700,466,1.80E+07,FBMC,mMTC
SmartPhone,60,0.01,40,60,1000,1076,1.80E+07,FBMC,mMTC
SmartPhone,60,0.0001,10,38,900,2688,1.00E+07,FBMC,mMTC
SmartPhone,300,0.001,20,50,900,2095,2.00E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,25,50,10000,2740,1.00E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,20,38,1000,644,1.00E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,40,60,10500,451,7.50E+06,FBMC,mMTC
SmartPhone,240,0.01,10,50,10000,2987,3.30E+07,FBMC,mMTC
SmartPhone,300,0.01,15,38,10500,239,4.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,10,30,10000,2764,7.50E+06,FBMC,mMTC
SmartPhone,100,1.00E-06,28,30,1000,62,1.90E+07,FBMC,mMTC
SmartPhone,300,0.01,25,50,10500,2731,7.70E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,50,50,17500,953,3.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,50,38,1700,2908,1.90E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,40,29,1700,1134,1.80E+07,FBMC,mMTC
SmartPhone,600,0.0001,40,38,900,1937,4.50E+07,FBMC,mMTC
SmartPhone,300,0.01,20,30,300,2861,3.30E+07,FBMC,mMTC
SmartPhone,180,0.01,28,40,17500,2222,4.50E+07,FBMC,mMTC
SmartPhone,180,0.01,28,29,1700,301,3.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,25,50,17500,2754,1.00E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,50,10500,2000,7.50E+07,FBMC,mMTC
SmartPhone,600,0.01,20,50,1700,571,4.50E+07,FBMC,mMTC
SmartPhone,240,0.01,20,50,17500,2831,1.90E+07,FBMC,mMTC
SmartPhone,120,0.0001,20,50,10000,1508,7.50E+07,FBMC,mMTC
SmartPhone,240,0.01,50,40,300,2294,7.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,18,40,10000,1205,7.70E+07,FBMC,mMTC
SmartPhone,120,1.00E-06,15,50,900,1547,7.50E+07,FBMC,mMTC
SmartPhone,60,0.01,18,30,1000,2000,6.50E+07,FBMC,mMTC
SmartPhone,300,0.01,40,50,1700,1808,5.00E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,40,60,10000,2687,2.00E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,15,50,300,770,4.50E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,25,38,300,2155,1.90E+07,FBMC,mMTC
SmartPhone,600,0.01,40,45,10500,2887,1.90E+07,FBMC,mMTC
SmartPhone,100,0.01,20,38,1700,332,1.00E+07,FBMC,mMTC
SmartPhone,300,0.01,25,40,17500,2771,5.00E+07,FBMC,mMTC
SmartPhone,300,0.0001,15,45,1000,2865,4.50E+07,FBMC,URLLC
SmartPhone,600,0.01,18,38,1700,985,4.50E+07,FBMC,URLLC
SmartPhone,60,1.00E-06,20,50,900,2423,1.00E+07,FBMC,URLLC
SmartPhone,60,1.00E-06,50,40,1700,2328,1.90E+07,FBMC,URLLC
SmartPhone,240,0.01,20,45,300,1452,3.70E+07,FBMC,URLLC
SmartPhone,240,1.00E-06,28,50,900,298,7.70E+07,FBMC,URLLC
SmartPhone,600,1.00E-05,50,40,17500,2775,4.50E+07,FBMC,URLLC
SmartPhone,100,1.00E-06,28,50,1700,393,7.70E+07,FBMC,URLLC
SmartPhone,240,0.01,50,29,900,1998,7.70E+07,FBMC,URLLC
SmartPhone,180,0.01,18,40,1700,1947,1.00E+07,FBMC,URLLC
SmartPhone,100,1.00E-05,25,40,10500,1107,3.70E+07,FBMC,URLLC
SmartPhone,60,1.00E-06,50,50,17500,2897,7.70E+07,FBMC,URLLC
SmartPhone,300,1.00E-05,50,38,10500,1186,1.90E+07,FBMC,URLLC
SmartPhone,300,0.0001,25,38,1700,2106,4.30E+07,FBMC,URLLC
SmartPhone,180,1.00E-05,50,38,1700,1740,1.80E+07,FBMC,URLLC
SmartPhone,60,1.00E-05,28,50,10000,1724,4.50E+07,FBMC,URLLC
SmartPhone,240,1.00E-06,50,50,900,84,4.50E+07,FBMC,URLLC
SmartPhone,60,0.01,40,40,1000,2255,6.50E+07,FBMC,URLLC
SmartPhone,300,0.01,50,45,17500,2500,6.50E+07,FBMC,URLLC
SmartPhone,240,1.00E-06,10,29,1000,1685,4.50E+07,FBMC,URLLC
SmartPhone,300,1.00E-06,25,29,300,1283,1.90E+07,FBMC,URLLC
SmartPhone,180,1.00E-05,25,29,900,1730,4.50E+07,FBMC,URLLC
SmartPhone,600,0.01,15,30,300,843,7.50E+07,FBMC,URLLC
SmartPhone,180,0.01,40,38,1000,373,7.50E+07,FBMC,URLLC
SmartPhone,120,1.00E-06,10,29,1700,1433,7.50E+07,FBMC,URLLC
SmartPhone,60,1.00E-05,50,29,1000,1191,4.30E+07,FBMC,URLLC
SmartPhone,120,1.00E-05,10,45,300,2904,7.70E+07,FBMC,URLLC
SmartPhone,600,1.00E-06,28,30,300,1846,1.00E+07,FBMC,URLLC
SmartPhone,600,0.01,25,30,900,1100,3.30E+07,FBMC,URLLC
SmartPhone,180,0.01,50,38,900,1462,6.50E+07,FBMC,URLLC
SmartPhone,300,0.0001,10,29,1700,1395,2.00E+07,FBMC,URLLC
SmartPhone,300,1.00E-05,40,50,900,382,1.90E+07,FBMC,URLLC
SmartPhone,600,1.00E-06,40,45,10000,1878,3.30E+07,FBMC,URLLC
SmartPhone,100,0.0001,20,50,900,2981,7.50E+07,FBMC,eMBB
SmartPhone,100,1.00E-06,18,30,17500,2527,3.70E+07,FBMC,eMBB
SmartPhone,600,0.01,25,30,1700,2167,7.70E+07,FBMC,eMBB
SmartPhone,180,0.01,20,50,1700,2481,3.30E+07,FBMC,eMBB
SmartPhone,240,0.01,25,50,10500,58,1.90E+07,FBMC,eMBB
SmartPhone,100,0.01,50,50,17500,86,7.70E+07,FBMC,eMBB
SmartPhone,100,1.00E-05,50,50,10000,564,3.30E+07,FBMC,eMBB
SmartPhone,120,1.00E-06,25,29,1700,945,4.50E+07,FBMC,eMBB
SmartPhone,60,1.00E-06,15,50,900,503,6.50E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-05,20,50,1000,2219,1.00E+07,FBMC,eMBB
AR/VR/Gaming,60,1.00E-05,50,29,900,714,4.50E+07,FBMC,eMBB
AR/VR/Gaming,60,0.0001,15,40,10500,2372,7.70E+07,FBMC,eMBB
AR/VR/Gaming,120,0.0001,10,50,1700,1103,7.70E+07,FBMC,eMBB
AR/VR/Gaming,100,1.00E-05,15,50,900,2760,1.90E+07,FBMC,eMBB
AR/VR/Gaming,180,1.00E-05,25,50,1700,2388,4.30E+07,FBMC,eMBB
AR/VR/Gaming,180,1.00E-05,50,38,10500,1747,6.50E+07,FBMC,eMBB
AR/VR/Gaming,100,1.00E-05,25,29,17500,2671,3.70E+07,FBMC,eMBB
AR/VR/Gaming,300,0.01,10,50,900,1632,4.50E+07,FBMC,eMBB
AR/VR/Gaming,60,1.00E-05,15,50,10500,2495,2.00E+07,FBMC,eMBB
AR/VR/Gaming,240,0.01,50,45,10000,988,1.80E+07,FBMC,eMBB
AR/VR/Gaming,180,0.01,18,38,1700,1793,1.90E+07,FBMC,eMBB
AR/VR/Gaming,300,1.00E-05,25,38,10500,1167,7.50E+06,FBMC,eMBB
AR/VR/Gaming,600,0.01,50,40,10500,851,7.50E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-06,15,50,10500,1001,4.50E+07,FBMC,eMBB
AR/VR/Gaming,300,1.00E-05,40,50,300,2014,7.70E+07,FBMC,eMBB
AR/VR/Gaming,600,0.01,25,38,1700,1280,2.00E+07,FBMC,eMBB
AR/VR/Gaming,60,0.0001,50,45,1000,2970,1.00E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-06,40,29,17500,151,1.80E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-05,20,50,300,2291,4.30E+07,FBMC,eMBB
AR/VR/Gaming,600,0.01,10,29,1000,327,4.50E+07,FBMC,eMBB
AR/VR/Gaming,180,1.00E-06,40,40,1700,159,3.30E+07,FBMC,eMBB
AR/VR/Gaming,240,0.01,20,38,1700,2478,7.50E+07,FBMC,eMBB
AR/VR/Gaming,240,0.01,28,50,300,1457,1.90E+07,FBMC,eMBB
AR/VR/Gaming,240,0.01,25,38,10500,406,1.90E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-05,50,50,1000,2000,1.80E+07,FBMC,eMBB
AR/VR/Gaming,100,1.00E-05,50,29,1000,2161,1.80E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-05,50,50,900,951,2.00E+07,FBMC,eMBB
AR/VR/Gaming,600,0.0001,15,40,1700,87,4.50E+07,FBMC,eMBB
AR/VR/Gaming,100,0.0001,40,50,10000,267,7.50E+07,FBMC,eMBB
AR/VR/Gaming,60,0.001,20,30,300,316,7.50E+06,FBMC,eMBB
AR/VR/Gaming,180,1.00E-06,40,29,300,2446,7.50E+06,FBMC,eMBB
AR/VR/Gaming,600,0.01,20,50,10500,1626,7.50E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-06,20,40,1000,2899,1.00E+07,FBMC,eMBB
AR/VR/Gaming,120,0.01,28,30,10500,1886,4.30E+07,FBMC,eMBB
AR/VR/Gaming,600,0.01,50,45,1000,715,7.50E+07,FBMC,eMBB
AR/VR/Gaming,300,0.01,50,29,300,2319,4.50E+07,FBMC,eMBB
AR/VR/Gaming,100,0.0001,25,29,900,2171,7.50E+07,FBMC,eMBB
AR/VR/Gaming,120,0.01,25,45,300,2042,6.50E+07,FBMC,eMBB
AR/VR/Gaming,180,1.00E-05,40,40,900,1012,7.70E+07,FBMC,eMBB
AR/VR/Gaming,180,0.01,40,29,900,437,1.90E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-06,40,45,300,1124,1.80E+07,FBMC,eMBB
AR/VR/Gaming,120,0.01,20,30,1700,1133,7.50E+07,FBMC,eMBB
AR/VR/Gaming,100,0.01,50,50,10500,2349,7.50E+06,FBMC,eMBB
AR/VR/Gaming,100,0.01,40,50,10500,1043,1.90E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-06,10,30,10500,2036,1.90E+07,FBMC,eMBB
AR/VR/Gaming,600,0.01,50,45,1000,1988,1.80E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-06,25,38,17500,324,1.00E+07,FBMC,eMBB
AR/VR/Gaming,60,0.01,20,40,300,2227,7.50E+07,FBMC,eMBB
AR/VR/Gaming,300,0.0001,50,29,300,2128,1.90E+07,FBMC,eMBB
AR/VR/Gaming,180,1.00E-06,50,38,300,578,4.50E+07,FBMC,eMBB
AR/VR/Gaming,240,0.0001,25,50,1000,1460,3.30E+07,FBMC,eMBB
AR/VR/Gaming,120,0.0001,40,45,10500,2840,4.30E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-06,25,38,1000,404,7.70E+07,FBMC,eMBB
AR/VR/Gaming,100,0.0001,50,50,900,2643,4.50E+07,FBMC,eMBB
AR/VR/Gaming,60,0.01,20,38,1700,140,1.80E+07,FBMC,eMBB
AR/VR/Gaming,60,1.00E-05,15,45,1000,545,3.30E+07,FBMC,eMBB
AR/VR/Gaming,100,0.01,40,38,900,217,7.50E+06,FBMC,eMBB
AR/VR/Gaming,300,0.01,40,30,900,262,7.50E+06,FBMC,eMBB
AR/VR/Gaming,120,1.00E-06,40,60,10000,1930,3.30E+07,FBMC,eMBB
AR/VR/Gaming,100,1.00E-05,15,40,10500,842,1.80E+07,FBMC,eMBB
AR/VR/Gaming,240,0.0001,40,38,10500,1844,5.00E+07,FBMC,eMBB
AR/VR/Gaming,100,0.0001,25,40,900,751,1.90E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-06,20,30,1000,2007,3.70E+07,FBMC,eMBB
AR/VR/Gaming,60,0.01,10,60,1000,702,7.70E+07,FBMC,eMBB
AR/VR/Gaming,120,1.00E-06,25,50,10500,2967,7.50E+07,FBMC,eMBB
AR/VR/Gaming,300,0.0001,28,38,10500,250,2.00E+07,FBMC,eMBB
AR/VR/Gaming,300,0.01,20,29,1000,2853,4.50E+07,FBMC,eMBB
AR/VR/Gaming,100,1.00E-06,50,50,300,837,1.80E+07,FBMC,eMBB
AR/VR/Gaming,300,0.01,50,50,300,619,4.50E+07,FBMC,eMBB
AR/VR/Gaming,120,0.0001,28,50,900,1193,3.70E+07,FBMC,eMBB
AR/VR/Gaming,100,0.01,20,38,1700,2602,7.50E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-05,28,60,17500,1585,7.50E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-06,50,29,300,1281,4.50E+07,FBMC,eMBB
AR/VR/Gaming,100,1.00E-06,40,29,1700,832,6.50E+07,FBMC,eMBB
AR/VR/Gaming,240,1.00E-06,50,29,10000,2907,3.30E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-05,50,29,1700,2534,4.50E+07,FBMC,eMBB
AR/VR/Gaming,300,1.00E-06,40,29,300,730,1.90E+07,FBMC,eMBB
AR/VR/Gaming,60,1.00E-06,50,38,1700,477,4.30E+07,FBMC,eMBB
AR/VR/Gaming,100,1.00E-06,10,50,1000,1053,4.50E+07,FBMC,eMBB
AR/VR/Gaming,120,0.01,25,60,1700,2541,1.00E+07,FBMC,eMBB
AR/VR/Gaming,600,0.01,25,40,1000,2717,4.50E+07,FBMC,eMBB
AR/VR/Gaming,100,0.01,20,29,1000,386,1.80E+07,FBMC,eMBB
AR/VR/Gaming,300,0.01,25,40,1000,2306,1.90E+07,FBMC,eMBB
AR/VR/Gaming,600,0.01,20,29,900,1687,3.70E+07,FBMC,eMBB
AR/VR/Gaming,60,0.01,15,45,300,674,6.50E+07,FBMC,eMBB
AR/VR/Gaming,180,0.01,20,40,17500,285,4.50E+07,FBMC,eMBB
AR/VR/Gaming,60,1.00E-06,20,38,1700,414,2.00E+07,FBMC,eMBB
AR/VR/Gaming,60,0.01,50,50,17500,1511,3.70E+07,FBMC,eMBB
AR/VR/Gaming,180,1.00E-06,20,38,1000,1544,1.00E+07,FBMC,eMBB
AR/VR/Gaming,600,1.00E-06,25,30,900,128,7.50E+07,FBMC,eMBB
AR/VR/Gaming,120,1.00E-06,15,45,1700,1188,7.50E+06,FBMC,eMBB
AR/VR/Gaming,240,0.01,10,60,300,718,4.50E+07,FBMC,URLLC
AR/VR/Gaming,100,0.01,28,30,10500,2531,7.50E+07,FBMC,URLLC
AR/VR/Gaming,120,0.01,28,30,1000,2000,7.70E+07,FBMC,URLLC
AR/VR/Gaming,100,0.01,40,50,17500,2651,3.30E+07,FBMC,URLLC
AR/VR/Gaming,100,1.00E-06,28,45,1000,319,1.90E+07,FBMC,URLLC
AR/VR/Gaming,600,0.0001,10,38,1700,2287,4.50E+07,FBMC,URLLC
AR/VR/Gaming,240,0.01,25,60,300,2713,4.50E+07,FBMC,URLLC
AR/VR/Gaming,180,0.01,40,50,1000,2636,1.80E+07,FBMC,URLLC
AR/VR/Gaming,100,0.0001,20,40,10500,1831,7.70E+07,FBMC,URLLC
AR/VR/Gaming,180,1.00E-06,10,29,1700,2307,4.50E+07,FBMC,URLLC
AR/VR/Gaming,240,0.01,50,50,300,845,3.70E+07,FBMC,URLLC
AR/VR/Gaming,240,1.00E-05,20,29,900,1501,7.50E+07,FBMC,URLLC
AR/VR/Gaming,120,0.01,20,40,300,1983,2.00E+07,FBMC,URLLC
AR/VR/Gaming,600,0.01,20,38,300,1796,7.50E+06,FBMC,URLLC
AR/VR/Gaming,60,1.00E-05,40,50,900,898,4.50E+07,FBMC,URLLC
AR/VR/Gaming,300,0.01,40,38,10500,1782,2.00E+07,FBMC,URLLC
AR/VR/Gaming,180,0.01,40,30,300,389,1.00E+07,FBMC,URLLC
AR/VR/Gaming,600,1.00E-05,20,38,10500,1123,7.70E+07,FBMC,URLLC
AR/VR/Gaming,300,1.00E-06,50,60,1700,304,1.90E+07,FBMC,URLLC
AR/VR/Gaming,600,1.00E-06,40,29,900,2401,7.70E+07,FBMC,URLLC
AR/VR/Gaming,600,1.00E-05,50,38,10000,2067,4.50E+07,FBMC,URLLC
AR/VR/Gaming,180,0.01,40,29,300,2519,1.90E+07,FBMC,URLLC
AR/VR/Gaming,100,1.00E-05,40,60,1700,2389,5.00E+07,FBMC,URLLC
AR/VR/Gaming,100,0.01,18,45,10500,1274,1.80E+07,FBMC,URLLC
AR/VR/Gaming,600,1.00E-06,28,45,17500,686,7.70E+07,FBMC,URLLC
AR/VR/Gaming,120,1.00E-06,25,50,1700,1332,7.50E+07,FBMC,URLLC
AR/VR/Gaming,100,0.01,15,38,10500,733,1.90E+07,FBMC,URLLC
AR/VR/Gaming,600,0.0001,25,60,1700,2815,1.80E+07,FBMC,URLLC
AR/VR/Gaming,100,0.01,40,60,300,1917,1.00E+07,FBMC,URLLC
AR/VR/Gaming,180,0.01,20,30,1700,563,7.50E+07,FBMC,URLLC
AR/VR/Gaming,60,1.00E-05,20,50,10500,398,1.00E+07,FBMC,URLLC
AR/VR/Gaming,240,0.01,40,40,10000,2761,1.00E+07,FBMC,URLLC
AR/VR/Gaming,180,1.00E-06,50,50,17500,1173,4.50E+07,FBMC,URLLC
AR/VR/Gaming,300,1.00E-06,10,29,900,2172,7.50E+07,FBMC,URLLC
AR/VR/Gaming,600,0.01,15,38,900,1496,7.50E+06,FBMC,URLLC
AR/VR/Gaming,60,0.01,15,29,900,1092,5.00E+07,FBMC,URLLC
AR/VR/Gaming,600,0.01,40,29,1700,2732,7.50E+07,FBMC,URLLC
AR/VR/Gaming,120,0.01,28,50,300,1625,7.70E+07,FBMC,URLLC
AR/VR/Gaming,180,0.001,50,45,1700,1699,4.50E+07,FBMC,URLLC
AR/VR/Gaming,100,0.01,20,40,1000,173,1.90E+07,FBMC,URLLC
AR/VR/Gaming,600,0.01,20,38,10500,322,1.90E+07,FBMC,mMTC
AR/VR/Gaming,240,1.00E-05,40,30,10500,2966,7.50E+07,FBMC,mMTC
AR/VR/Gaming,100,0.01,25,29,1000,1851,7.70E+07,FBMC,mMTC
AR/VR/Gaming,300,1.00E-06,40,45,900,1451,4.50E+07,FBMC,mMTC
AR/VR/Gaming,60,0.001,40,30,10500,2165,4.50E+07,FBMC,mMTC
AR/VR/Gaming,240,0.01,25,40,1700,1027,1.80E+07,FBMC,mMTC
AR/VR/Gaming,300,0.001,50,29,1000,1815,1.90E+07,FBMC,mMTC
AR/VR/Gaming,60,1.00E-06,20,40,1700,2182,7.70E+07,FBMC,mMTC
AR/VR/Gaming,100,1.00E-06,50,60,17500,2968,7.50E+07,FBMC,mMTC
AR/VR/Gaming,180,1.00E-05,50,38,1700,392,2.00E+07,FBMC,mMTC
AR/VR/Gaming,60,0.01,40,29,300,1322,7.50E+07,FBMC,mMTC
AR/VR/Gaming,100,0.01,10,50,900,921,4.30E+07,FBMC,mMTC
AR/VR/Gaming,60,0.01,25,30,300,2828,4.50E+07,FBMC,mMTC
AR/VR/Gaming,60,1.00E-06,40,45,300,1231,1.00E+07,FBMC,mMTC
IOTDevices,100,0.01,28,30,1000,1748,1.00E+07,FBMC,mMTC
IOTDevices,240,0.01,40,38,10500,933,7.70E+07,FBMC,mMTC
IOTDevices,120,1.00E-05,50,40,1000,111,2.00E+07,FBMC,mMTC
IOTDevices,300,1.00E-05,10,38,10500,400,1.90E+07,FBMC,mMTC
IOTDevices,240,0.001,20,40,300,1329,1.90E+07,FBMC,mMTC
IOTDevices,60,0.01,50,40,10000,880,4.50E+07,FBMC,mMTC
IOTDevices,240,0.01,10,40,10500,1377,4.50E+07,FBMC,mMTC
IOTDevices,240,1.00E-06,25,29,1700,1348,3.70E+07,FBMC,mMTC
IOTDevices,300,0.01,28,38,300,1784,1.90E+07,FBMC,mMTC
IOTDevices,180,0.0001,40,50,1700,308,7.50E+06,FBMC,mMTC
IOTDevices,120,1.00E-06,28,50,300,483,4.50E+07,FBMC,mMTC
IOTDevices,600,0.01,40,40,17500,1374,1.90E+07,FBMC,mMTC
IOTDevices,120,1.00E-05,25,60,1000,1383,3.30E+07,FBMC,mMTC
IOTDevices,100,0.01,20,30,300,2721,7.50E+06,FBMC,mMTC
IOTDevices,600,0.01,10,29,900,1497,4.50E+07,FBMC,mMTC
IOTDevices,120,1.00E-05,40,50,17500,2943,1.80E+07,FBMC,mMTC
IOTDevices,600,1.00E-05,40,29,10500,1197,2.00E+07,FBMC,mMTC
IOTDevices,60,0.01,25,29,10500,1690,6.50E+07,FBMC,mMTC
IOTDevices,300,0.01,28,29,900,2540,1.80E+07,FBMC,mMTC
IOTDevices,100,0.01,50,29,1700,53,1.90E+07,FBMC,mMTC
IOTDevices,100,1.00E-06,50,50,17500,2675,6.50E+07,FBMC,mMTC
